id,Arabic,Hindi,Urdu,Other_Indic_languages,Speak_only_English,Spanish_or_Spanish_Creole,French_Patois_Cajun,French_Creole,Italian,Portuguese_or_Portuguese_Creole,German,Yiddish,Other_West_Germanic_languages,Scandinavian_languages,Greek,Russian,Polish,Serbo_Croatian,Other_Slavic_languages,Armenian,Persian,Gujarati,Other_Indo_European_languages,Chinese,Japanese,Korean,Mon_Khmer_Cambodian,Hmong,Thai,Laotian,Vietnamese,Other_Asian_languages,Tagalog,Other_Pacific_Island_languages,Navajo,Other_Native_North_American_languages,Hungarian,Hebrew,African_languages,Other_and_unspecified_languages
1400000US36047005601,125,0,0,54,1528,126,9,0,50,0,13,0,0,0,72,225,27,0,0,0,60,0,21,92,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0
1400000US36047005602,6,31,15,26,1016,220,4,0,20,0,6,0,0,15,152,82,71,0,0,0,0,0,4,39,6,1,0,0,0,0,0,13,31,0,0,0,0,0,0,0
1400000US36047005800,197,62,49,210,1335,379,17,0,20,39,0,0,0,0,308,140,16,0,0,0,0,0,183,187,40,99,0,0,0,0,0,26,0,0,0,0,0,0,0,0
1400000US36047005900,16,29,0,0,940,132,0,0,13,0,0,0,0,0,11,11,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,12,0,0
1400000US36047006000,265,33,0,0,1471,160,0,0,0,0,0,0,0,0,279,14,102,0,0,0,0,0,0,222,0,0,0,0,0,0,11,0,0,0,0,0,33,0,12,0
1400000US36047006200,299,0,1,0,1383,315,16,19,76,0,15,0,0,0,54,45,38,0,30,0,0,0,0,219,13,17,0,0,0,0,0,0,0,0,0,0,0,10,173,0
1400000US36047006300,0,0,0,0,1291,217,24,0,106,0,7,0,42,13,0,0,0,0,0,0,0,0,0,46,0,18,0,0,0,0,0,0,0,0,0,0,0,24,0,0
1400000US36047006400,648,0,0,0,1731,136,36,0,42,8,0,0,0,20,212,121,51,17,0,0,7,0,4,223,0,58,0,0,0,0,0,22,0,0,0,0,0,7,7,64
1400000US36047006500,0,0,0,0,4211,204,39,15,219,13,57,0,47,19,37,17,46,0,33,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047006600,379,0,0,54,1932,415,26,0,31,2,0,0,0,0,51,218,140,0,0,0,0,0,84,130,7,40,0,0,0,0,0,0,55,57,0,0,0,0,23,0
1400000US36047006700,0,0,0,13,2808,153,48,0,101,6,23,0,0,26,0,25,0,0,11,0,23,0,10,9,17,29,0,0,0,0,0,0,0,0,0,0,0,7,0,12
1400000US36047006800,1032,0,62,10,1374,1053,24,0,0,0,0,0,0,7,90,95,178,170,45,0,0,0,38,615,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047006900,157,8,0,5,2761,512,25,0,40,0,7,0,0,41,23,2,0,0,22,0,6,0,8,27,19,58,0,0,10,0,0,0,0,7,0,0,0,0,6,0
1400000US36047007000,415,0,0,91,1222,179,8,0,8,0,9,4,0,7,6,229,35,0,13,0,0,0,22,192,0,17,0,0,0,0,9,0,0,0,0,0,0,0,0,0
1400000US36047007100,9,0,0,0,2873,1365,56,0,0,0,0,0,0,5,0,0,0,0,14,0,11,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047007200,161,0,0,0,196,894,15,0,11,0,0,0,0,0,4,26,0,13,10,0,0,0,2,694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0
1400000US36047007400,103,0,79,0,557,3412,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047007500,0,0,0,0,3060,676,333,0,23,13,0,0,0,0,0,1,34,0,0,0,0,0,16,183,13,0,0,0,0,0,0,22,26,0,0,0,0,0,0,36
1400000US36047007600,49,16,0,0,819,2217,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777,0,0,0,0,0,0,0,42,9,0,0,0,0,0,0,0
1400000US36047007700,0,11,0,0,2574,431,335,0,119,11,69,0,0,0,61,77,16,0,0,0,80,15,0,152,58,0,0,0,0,0,27,0,0,0,0,0,0,16,0,0
1400000US36047007800,0,0,0,140,906,3754,0,1,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,126,15,0,0,0,0,0,0,164,0,0,0,0,0,0,41,0
1400000US36047008000,115,0,0,0,965,2501,34,0,9,0,38,0,0,0,0,0,0,0,0,0,10,0,0,196,9,0,0,0,0,0,0,0,12,7,0,0,0,0,0,0
1400000US36047008200,77,0,0,0,770,2666,0,0,1,8,0,0,0,0,0,22,29,0,0,0,0,0,0,478,0,0,0,0,0,0,22,0,7,0,0,0,0,0,0,0
1400000US36047008400,84,0,0,0,700,2544,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,84,7,65,0,0,0,0,0,0,43,0,0,0,0,0,0,0
1400000US36047008500,0,0,0,0,3601,2573,0,9,0,28,0,0,0,0,0,16,0,0,0,0,0,0,0,135,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047008600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047008800,0,0,0,0,664,1764,0,0,35,0,0,42,0,0,18,0,54,0,0,0,0,0,0,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
1400000US36047009000,115,0,0,36,239,1292,0,0,43,0,0,0,0,9,11,0,70,0,12,0,0,0,0,1154,0,16,0,0,0,0,79,11,0,23,0,0,6,0,0,0
1400000US36047009200,54,0,0,308,939,1710,0,63,34,0,0,10,0,0,0,9,20,0,7,0,0,15,0,1418,21,0,0,0,0,0,58,0,71,0,0,0,0,0,22,0
1400000US36047009400,0,43,69,76,934,1023,26,0,42,9,0,255,9,8,0,52,85,0,15,0,0,41,21,2572,0,30,0,0,0,0,0,0,0,0,0,0,72,0,0,0
1400000US36047009600,163,0,0,0,1017,3016,8,0,7,0,0,0,0,0,10,0,56,0,0,0,0,24,0,1533,7,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0
1400000US36047009800,77,13,85,12,522,3486,0,0,0,16,0,0,0,8,0,0,8,0,0,0,0,0,0,2656,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0
1400000US36047010000,158,0,64,22,765,1826,7,0,0,0,0,0,0,12,0,0,26,0,0,0,0,43,0,2979,65,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0
1400000US36047010100,138,0,0,27,1329,2145,24,0,19,0,0,0,0,17,0,0,116,0,0,0,9,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047010200,14,0,0,0,700,888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,7,3227,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047010400,0,0,3,0,536,664,0,0,35,0,9,0,0,26,0,0,27,0,0,0,0,84,0,4090,0,132,0,0,0,0,80,50,43,0,0,0,0,0,0,0
1400000US36047010600,0,0,0,100,353,561,0,0,0,0,0,0,0,15,2,7,37,0,0,0,0,8,0,4511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047010800,0,84,0,22,513,639,0,0,20,8,0,0,0,0,0,9,87,0,0,0,0,9,0,2646,0,0,0,0,0,0,42,13,152,0,0,0,0,0,0,0
1400000US36047011000,5,5,0,11,341,1005,0,0,5,0,0,166,0,0,0,9,0,0,66,0,0,0,0,610,0,26,0,0,0,0,5,0,0,0,0,0,0,66,0,0
1400000US36047011200,16,32,6,339,638,2228,9,0,14,0,0,1035,0,0,0,281,347,0,62,0,52,0,5,837,0,11,0,0,0,0,0,25,0,0,0,0,53,36,1,0
1400000US36047011400,25,95,52,12,863,479,9,0,12,0,22,1287,10,0,22,147,0,37,0,0,7,83,57,437,0,0,0,0,0,0,0,13,123,23,0,0,93,97,0,0
1400000US36047011600,56,0,0,0,406,371,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,3137,0,0,0,0,0,0,0,77,0,0,0,0,0,16,0,0
1400000US36047011700,136,0,0,0,1548,719,12,16,11,0,0,0,0,0,0,29,19,0,12,0,11,0,0,29,46,13,0,0,0,15,0,27,0,0,0,0,0,0,0,0
1400000US36047011800,0,0,0,0,485,371,5,0,42,0,0,0,0,0,0,0,11,0,0,0,0,0,0,1028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047011900,0,0,0,0,1044,560,0,6,8,0,55,0,0,0,6,0,12,0,0,0,0,0,17,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047012000,15,0,37,0,61,23,0,0,0,0,0,0,0,0,0,21,10,0,0,0,0,0,0,961,0,3,0,0,3,0,0,0,0,10,0,0,0,0,0,0
1400000US36047012100,20,0,26,0,1153,384,0,0,13,0,7,0,0,0,0,0,0,0,0,0,7,0,0,52,8,22,0,0,0,0,7,0,0,0,0,0,0,8,0,0
1400000US36047012200,101,0,0,0,761,2146,9,0,11,0,0,7,0,0,108,16,45,0,0,0,0,0,0,1276,0,41,66,0,0,0,0,0,0,0,0,0,0,0,0,0
1400000US36047012600,452,98,0,3,572,714,0,0,18,0,0,0,0,0,44,34,0,0,39,0,0,0,0,636,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
