,ZIPCODE,AREA,avdens,counts,maxcounts
192,10115,71720.1154679,4338.06021744,97.0,97.0
193,10022,12728335.623,4653.68494387,58.7175344345,1489.0
194,11370,18190205.1866,456.6214312,23.0,23.0
195,10065,11442579.5474,4069.51778839,40.2106401322,816.0
196,10075,4809654.27649,5208.0951396,61.378720757,428.0
197,10069,2372365.88905,1894.32123955,122.768585198,293.0
198,10281,955857.821894,1894.32123956,76.2567515721,276.0
199,10282,1562844.98745,816.993488679,87.0,87.0
200,11211,40470881.6713,761.270576264,9.31489129579,262.0
201,11373,42654860.3372,9976.37256611,164.662375156,7134.0
202,10279,28664.7058126,1894.32123955,27.0,27.0
203,10165,40779.8152016,4241.65791849,29.0,29.0
204,10168,27810.1220604,4241.65791849,34.0,34.0
205,10105,35422.1567547,4241.65791849,327.0,327.0
206,10118,91733.715365,4241.65791849,132.0,132.0
207,10176,18289.0897337,4241.65791849,0.0,0.0
208,10170,61793.175135,4241.65791849,21.0,21.0
209,10112,164078.16778,4241.65791849,0.0,0.0
210,10122,23294.6381049,4241.65791849,0.0,0.0
211,10107,23030.175898,4241.65791849,327.0,327.0
212,10103,62713.2534064,4241.65791849,0.0,0.0
213,10174,44203.225551,4241.65791849,21.0,21.0
214,10166,110438.623169,4241.65791849,21.0,21.0
215,10169,66246.3463652,4241.65791849,21.0,21.0
216,10167,80926.1872447,4241.65791849,21.0,21.0
217,10177,24688.0511023,4241.65791849,19.7240897376,21.0
218,10172,79589.1001044,4241.65791849,21.0,21.0
219,10171,23525.0859204,4241.65791849,21.0,21.0
220,10270,31255.8004266,4241.65791849,357.0,357.0
221,10104,89721.8525479,4241.65791849,0.0,0.0
222,10271,49236.8772005,3877.23992137,357.0,357.0
223,10110,21249.063518,4241.65791849,0.0,0.0
224,10175,18685.3945255,4241.65791849,0.0,0.0
225,10151,21380.268377,4241.65791849,0.0,0.0
226,10173,25689.4205866,4241.65791849,0.0,0.0
227,10178,51303.0376333,4241.65791849,34.0,34.0
228,10121,115104.799348,4241.65791849,35.0,35.0
229,10123,16138.5369653,4241.65791849,0.0,0.0
230,10106,31052.5527948,4241.65791849,327.0,327.0
231,10158,35395.7701445,4241.65791849,90.0,90.0
232,10041,162236.646861,1894.32123955,12.0,12.0
233,10120,35179.2722188,4241.65791849,35.0,35.0
234,10278,206705.995177,1894.32123955,0.0,0.0
235,10155,24784.6885383,4241.65791849,0.0,0.0
236,10043,38262.3648084,4241.65791849,357.0,357.0
237,10081,30240.5054514,4241.65791849,357.0,357.0
238,10096,42106.1146904,4241.65791849,0.0,0.0
239,10097,65826.1779786,4241.65791849,0.0,0.0
240,10196,32502.4403287,4241.65791849,0.0,0.0
241,10196,3154.82497313,4241.65791849,0.0,0.0
242,10275,48280.4150004,1894.32123955,146.0,146.0
243,10265,17229.1549642,4241.65791849,357.0,357.0
244,10045,47808.9854141,4241.65791849,226.07025021,583.0
245,10047,10149.7796839,7185.1573212,80.0,80.0
246,10047,10149.7796839,7185.1573212,80.0,80.0
247,10080,77111.4477111,1894.32123955,146.0,146.0
248,10203,37226.883582,1894.32123956,357.0,357.0
249,10259,21064.312953,4241.65791849,357.0,357.0
250,10260,52514.7350827,4241.65791849,357.0,357.0
251,10285,67350.3889599,1894.32123955,87.0,87.0
252,10286,11264.4123784,4241.65791849,357.0,357.0
253,10035,23494871.4648,744.881886177,0.0837183457313,57.0
254,11371,30558474.9078,727.978697118,1.09786125922,1504.0
255,11361,50163518.2434,665.704973827,19.6739803965,1091.0
256,10036,11395110.5096,3449.07999416,61.5305897894,608.0
257,11414,63928824.719,487.093449872,47.098536814,510.0
258,10310,53463275.0025,583.028240881,57.6707048809,2020.0
259,11693,3497515.77974,456.6214312,0.0,0.0
260,11249,17772206.1701,513.436454694,7.90993264032,185.0
261,10162,21034.8869176,4241.65791849,0.0,0.0
262,10119,126392.973548,4241.65791849,35.0,35.0
